Planning Area,Subzone,Age Group,Type of Dwelling,2020
Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,3-Room Flats,20
Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,4-Room Flats,60
Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,5-Room and Executive Flats,150
Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,Condominiums and Other Apartments,170
Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,Others,-
Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,Total,470
Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,Total HDB^,240
Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,3-Room Flats,30
Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,4-Room Flats,60
Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,5-Room and Executive Flats,150
Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,Condominiums and Other Apartments,230
Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,Others,-
Ang Mo Kio,Ang Mo Kio Town Centre,50 - 54,Total,370
Ang Mo Kio,Ang Mo Kio Town Centre,50 - 54,Total HDB^,190
Ang Mo Kio,Ang Mo Kio Town Centre,50 - 54,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,50 - 54,3-Room Flats,30
Ang Mo Kio,Ang Mo Kio Town Centre,50 - 54,4-Room Flats,40
Ang Mo Kio,Ang Mo Kio Town Centre,50 - 54,5-Room and Executive Flats,120
Ang Mo Kio,Ang Mo Kio Town Centre,50 - 54,Condominiums and Other Apartments,180
Ang Mo Kio,Ang Mo Kio Town Centre,50 - 54,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,50 - 54,Others,-
Ang Mo Kio,Ang Mo Kio Town Centre,55 - 59,Total,320
Ang Mo Kio,Ang Mo Kio Town Centre,55 - 59,Total HDB^,190
Ang Mo Kio,Ang Mo Kio Town Centre,55 - 59,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,55 - 59,3-Room Flats,40
Ang Mo Kio,Ang Mo Kio Town Centre,55 - 59,4-Room Flats,30
Ang Mo Kio,Ang Mo Kio Town Centre,55 - 59,5-Room and Executive Flats,120
Ang Mo Kio,Ang Mo Kio Town Centre,55 - 59,Condominiums and Other Apartments,120
Ang Mo Kio,Ang Mo Kio Town Centre,55 - 59,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,55 - 59,Others,10
Ang Mo Kio,Ang Mo Kio Town Centre,60 - 64,Total,300
Ang Mo Kio,Ang Mo Kio Town Centre,60 - 64,Total HDB^,210
Ang Mo Kio,Ang Mo Kio Town Centre,60 - 64,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,60 - 64,3-Room Flats,40
Ang Mo Kio,Ang Mo Kio Town Centre,60 - 64,4-Room Flats,50
Ang Mo Kio,Ang Mo Kio Town Centre,60 - 64,5-Room and Executive Flats,120
Ang Mo Kio,Ang Mo Kio Town Centre,60 - 64,Condominiums and Other Apartments,80
Ang Mo Kio,Ang Mo Kio Town Centre,60 - 64,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,60 - 64,Others,-
Ang Mo Kio,Ang Mo Kio Town Centre,65 - 69,Total,250
Ang Mo Kio,Ang Mo Kio Town Centre,65 - 69,Total HDB^,200
Ang Mo Kio,Ang Mo Kio Town Centre,65 - 69,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,65 - 69,3-Room Flats,30
Ang Mo Kio,Ang Mo Kio Town Centre,65 - 69,4-Room Flats,40
Ang Mo Kio,Ang Mo Kio Town Centre,65 - 69,5-Room and Executive Flats,130
Ang Mo Kio,Ang Mo Kio Town Centre,65 - 69,Condominiums and Other Apartments,50
Ang Mo Kio,Ang Mo Kio Town Centre,65 - 69,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,65 - 69,Others,-
Ang Mo Kio,Ang Mo Kio Town Centre,70 - 74,Total,230
Ang Mo Kio,Ang Mo Kio Town Centre,70 - 74,Total HDB^,180
Ang Mo Kio,Ang Mo Kio Town Centre,70 - 74,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,70 - 74,3-Room Flats,20
Ang Mo Kio,Ang Mo Kio Town Centre,70 - 74,4-Room Flats,40
Ang Mo Kio,Ang Mo Kio Town Centre,70 - 74,5-Room and Executive Flats,120
Ang Mo Kio,Ang Mo Kio Town Centre,70 - 74,Condominiums and Other Apartments,50
Ang Mo Kio,Ang Mo Kio Town Centre,70 - 74,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,70 - 74,Others,-
Ang Mo Kio,Ang Mo Kio Town Centre,75 - 79,Total,140
Ang Mo Kio,Ang Mo Kio Town Centre,75 - 79,Total HDB^,120
Ang Mo Kio,Ang Mo Kio Town Centre,75 - 79,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,75 - 79,3-Room Flats,10
Ang Mo Kio,Ang Mo Kio Town Centre,75 - 79,4-Room Flats,30
Ang Mo Kio,Ang Mo Kio Town Centre,75 - 79,5-Room and Executive Flats,80
Ang Mo Kio,Ang Mo Kio Town Centre,75 - 79,Condominiums and Other Apartments,20
Ang Mo Kio,Ang Mo Kio Town Centre,75 - 79,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,75 - 79,Others,-
Ang Mo Kio,Ang Mo Kio Town Centre,80 - 84,Total,100
Ang Mo Kio,Ang Mo Kio Town Centre,80 - 84,Total HDB^,70
Ang Mo Kio,Ang Mo Kio Town Centre,80 - 84,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,80 - 84,3-Room Flats,10
Ang Mo Kio,Ang Mo Kio Town Centre,80 - 84,4-Room Flats,20
Ang Mo Kio,Ang Mo Kio Town Centre,80 - 84,5-Room and Executive Flats,40
Ang Mo Kio,Ang Mo Kio Town Centre,80 - 84,Condominiums and Other Apartments,30
Ang Mo Kio,Ang Mo Kio Town Centre,80 - 84,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,80 - 84,Others,-
Ang Mo Kio,Ang Mo Kio Town Centre,85 - 89,Total,40
Ang Mo Kio,Ang Mo Kio Town Centre,85 - 89,Total HDB^,30
Ang Mo Kio,Ang Mo Kio Town Centre,85 - 89,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,85 - 89,3-Room Flats,-
Ang Mo Kio,Ang Mo Kio Town Centre,85 - 89,4-Room Flats,10
Ang Mo Kio,Ang Mo Kio Town Centre,85 - 89,5-Room and Executive Flats,20
Ang Mo Kio,Ang Mo Kio Town Centre,85 - 89,Condominiums and Other Apartments,10
Ang Mo Kio,Ang Mo Kio Town Centre,85 - 89,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,85 - 89,Others,-
Ang Mo Kio,Ang Mo Kio Town Centre,90 & Over,Total,20
Ang Mo Kio,Ang Mo Kio Town Centre,90 & Over,Total HDB^,20
Ang Mo Kio,Ang Mo Kio Town Centre,90 & Over,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,90 & Over,3-Room Flats,-
Ang Mo Kio,Ang Mo Kio Town Centre,90 & Over,4-Room Flats,-
Ang Mo Kio,Ang Mo Kio Town Centre,90 & Over,5-Room and Executive Flats,10
Ang Mo Kio,Ang Mo Kio Town Centre,90 & Over,Condominiums and Other Apartments,-
Ang Mo Kio,Ang Mo Kio Town Centre,90 & Over,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,90 & Over,Others,-
Ang Mo Kio,Cheng San,Total,Total,"28,070"
Ang Mo Kio,Cheng San,Total,Total HDB^,"27,970"
Ang Mo Kio,Cheng San,Total,1- and 2-Room Flats*,970
Ang Mo Kio,Cheng San,Total,3-Room Flats,"13,290"
Ang Mo Kio,Cheng San,Total,4-Room Flats,"8,810"
Ang Mo Kio,Cheng San,Total,5-Room and Executive Flats,"4,900"
Ang Mo Kio,Cheng San,Total,Condominiums and Other Apartments,-
Ang Mo Kio,Cheng San,Total,Landed Properties,-
Ang Mo Kio,Cheng San,Total,Others,100
Ang Mo Kio,Cheng San,0 - 4,Total,"1,060"
Ang Mo Kio,Cheng San,0 - 4,Total HDB^,"1,060"
Ang Mo Kio,Cheng San,0 - 4,1- and 2-Room Flats*,30
Ang Mo Kio,Cheng San,0 - 4,3-Room Flats,350
Ang Mo Kio,Cheng San,0 - 4,4-Room Flats,430
Ang Mo Kio,Cheng San,0 - 4,5-Room and Executive Flats,240
Ang Mo Kio,Cheng San,0 - 4,Condominiums and Other Apartments,-
Ang Mo Kio,Cheng San,0 - 4,Landed Properties,-
Ang Mo Kio,Cheng San,0 - 4,Others,-
Ang Mo Kio,Cheng San,5 - 9,Total,"1,040"
Ang Mo Kio,Cheng San,5 - 9,Total HDB^,"1,040"
Ang Mo Kio,Cheng San,5 - 9,1- and 2-Room Flats*,20
Ang Mo Kio,Cheng San,5 - 9,3-Room Flats,330
Ang Mo Kio,Cheng San,5 - 9,4-Room Flats,380
Ang Mo Kio,Cheng San,5 - 9,5-Room and Executive Flats,310
Ang Mo Kio,Cheng San,5 - 9,Condominiums and Other Apartments,-
Ang Mo Kio,Cheng San,5 - 9,Landed Properties,-
Ang Mo Kio,Cheng San,5 - 9,Others,-
Ang Mo Kio,Cheng San,10 - 14,Total,"1,040"
Ang Mo Kio,Cheng San,10 - 14,Total HDB^,"1,040"
Ang Mo Kio,Cheng San,10 - 14,1- and 2-Room Flats*,30
Ang Mo Kio,Cheng San,10 - 14,3-Room Flats,410
Ang Mo Kio,Cheng San,10 - 14,4-Room Flats,330
Ang Mo Kio,Cheng San,10 - 14,5-Room and Executive Flats,280
Ang Mo Kio,Cheng San,10 - 14,Condominiums and Other Apartments,-
Ang Mo Kio,Cheng San,10 - 14,Landed Properties,-
Ang Mo Kio,Cheng San,10 - 14,Others,-
Ang Mo Kio,Cheng San,15 - 19,Total,"1,160"
Ang Mo Kio,Cheng San,15 - 19,Total HDB^,"1,160"
Ang Mo Kio,Cheng San,15 - 19,1- and 2-Room Flats*,60
Ang Mo Kio,Cheng San,15 - 19,3-Room Flats,500
Ang Mo Kio,Cheng San,15 - 19,4-Room Flats,350
Ang Mo Kio,Cheng San,15 - 19,5-Room and Executive Flats,250
Ang Mo Kio,Cheng San,15 - 19,Condominiums and Other Apartments,-
Ang Mo Kio,Cheng San,15 - 19,Landed Properties,-
Ang Mo Kio,Cheng San,15 - 19,Others,-
Ang Mo Kio,Cheng San,20 - 24,Total,"1,330"
Ang Mo Kio,Cheng San,20 - 24,Total HDB^,"1,330"
Ang Mo Kio,Cheng San,20 - 24,1- and 2-Room Flats*,70
Ang Mo Kio,Cheng San,20 - 24,3-Room Flats,600
Ang Mo Kio,Cheng San,20 - 24,4-Room Flats,390
Ang Mo Kio,Cheng San,20 - 24,5-Room and Executive Flats,280
Ang Mo Kio,Cheng San,20 - 24,Condominiums and Other Apartments,-
Ang Mo Kio,Cheng San,20 - 24,Landed Properties,-
Ang Mo Kio,Cheng San,20 - 24,Others,-
Ang Mo Kio,Cheng San,25 - 29,Total,"1,710"
Ang Mo Kio,Cheng San,25 - 29,Total HDB^,"1,700"
Ang Mo Kio,Cheng San,25 - 29,1- and 2-Room Flats*,70
Ang Mo Kio,Cheng San,25 - 29,3-Room Flats,790
Ang Mo Kio,Cheng San,25 - 29,4-Room Flats,550
Ang Mo Kio,Cheng San,25 - 29,5-Room and Executive Flats,300
Ang Mo Kio,Cheng San,25 - 29,Condominiums and Other Apartments,-
Ang Mo Kio,Cheng San,25 - 29,Landed Properties,-
Ang Mo Kio,Cheng San,25 - 29,Others,10
Ang Mo Kio,Cheng San,30 - 34,Total,"2,000"
Ang Mo Kio,Cheng San,30 - 34,Total HDB^,"1,990"
Ang Mo Kio,Cheng San,30 - 34,1- and 2-Room Flats*,40
Ang Mo Kio,Cheng San,30 - 34,3-Room Flats,850
Ang Mo Kio,Cheng San,30 - 34,4-Room Flats,790
Ang Mo Kio,Cheng San,30 - 34,5-Room and Executive Flats,310
Ang Mo Kio,Cheng San,30 - 34,Condominiums and Other Apartments,-
Ang Mo Kio,Cheng San,30 - 34,Landed Properties,-
Ang Mo Kio,Cheng San,30 - 34,Others,20
Ang Mo Kio,Cheng San,35 - 39,Total,"2,150"
Ang Mo Kio,Cheng San,35 - 39,Total HDB^,"2,140"
Ang Mo Kio,Cheng San,35 - 39,1- and 2-Room Flats*,30
Ang Mo Kio,Cheng San,35 - 39,3-Room Flats,930
Ang Mo Kio,Cheng San,35 - 39,4-Room Flats,770
Ang Mo Kio,Cheng San,35 - 39,5-Room and Executive Flats,410
Ang Mo Kio,Cheng San,35 - 39,Condominiums and Other Apartments,-
Ang Mo Kio,Cheng San,35 - 39,Landed Properties,-
Ang Mo Kio,Cheng San,35 - 39,Others,-
Ang Mo Kio,Cheng San,40 - 44,Total,"2,070"
Ang Mo Kio,Cheng San,40 - 44,Total HDB^,"2,060"
Ang Mo Kio,Cheng San,40 - 44,1- and 2-Room Flats*,40
Ang Mo Kio,Cheng San,40 - 44,3-Room Flats,930
Ang Mo Kio,Cheng San,40 - 44,4-Room Flats,680
Ang Mo Kio,Cheng San,40 - 44,5-Room and Executive Flats,420
Ang Mo Kio,Cheng San,40 - 44,Condominiums and Other Apartments,-
Ang Mo Kio,Cheng San,40 - 44,Landed Properties,-
Ang Mo Kio,Cheng San,40 - 44,Others,10
Ang Mo Kio,Cheng San,45 - 49,Total,"2,200"
Ang Mo Kio,Cheng San,45 - 49,Total HDB^,"2,190"
Ang Mo Kio,Cheng San,45 - 49,1- and 2-Room Flats*,40
Ang Mo Kio,Cheng San,45 - 49,3-Room Flats,"1,090"
Ang Mo Kio,Cheng San,45 - 49,4-Room Flats,640
Ang Mo Kio,Cheng San,45 - 49,5-Room and Executive Flats,420
Ang Mo Kio,Cheng San,45 - 49,Condominiums and Other Apartments,-
Ang Mo Kio,Cheng San,45 - 49,Landed Properties,-
Ang Mo Kio,Cheng San,45 - 49,Others,-
Ang Mo Kio,Cheng San,50 - 54,Total,"2,050"
Ang Mo Kio,Cheng San,50 - 54,Total HDB^,"2,050"
Ang Mo Kio,Cheng San,50 - 54,1- and 2-Room Flats*,70
Ang Mo Kio,Cheng San,50 - 54,3-Room Flats,"1,100"
Ang Mo Kio,Cheng San,50 - 54,4-Room Flats,560
Ang Mo Kio,Cheng San,50 - 54,5-Room and Executive Flats,320
Ang Mo Kio,Cheng San,50 - 54,Condominiums and Other Apartments,-
Ang Mo Kio,Cheng San,50 - 54,Landed Properties,-
Ang Mo Kio,Cheng San,50 - 54,Others,-
Ang Mo Kio,Cheng San,55 - 59,Total,"2,120"
Ang Mo Kio,Cheng San,55 - 59,Total HDB^,"2,110"
Ang Mo Kio,Cheng San,55 - 59,1- and 2-Room Flats*,70
Ang Mo Kio,Cheng San,55 - 59,3-Room Flats,"1,160"
Ang Mo Kio,Cheng San,55 - 59,4-Room Flats,600
Ang Mo Kio,Cheng San,55 - 59,5-Room and Executive Flats,280
Ang Mo Kio,Cheng San,55 - 59,Condominiums and Other Apartments,-
Ang Mo Kio,Cheng San,55 - 59,Landed Properties,-
Ang Mo Kio,Cheng San,55 - 59,Others,10
Ang Mo Kio,Cheng San,60 - 64,Total,"2,120"
Ang Mo Kio,Cheng San,60 - 64,Total HDB^,"2,120"
Ang Mo Kio,Cheng San,60 - 64,1- and 2-Room Flats*,110
Ang Mo Kio,Cheng San,60 - 64,3-Room Flats,"1,140"
Ang Mo Kio,Cheng San,60 - 64,4-Room Flats,570
Ang Mo Kio,Cheng San,60 - 64,5-Room and Executive Flats,300
Ang Mo Kio,Cheng San,60 - 64,Condominiums and Other Apartments,-
Ang Mo Kio,Cheng San,60 - 64,Landed Properties,-
Ang Mo Kio,Cheng San,60 - 64,Others,10
Ang Mo Kio,Cheng San,65 - 69,Total,"2,170"
Ang Mo Kio,Cheng San,65 - 69,Total HDB^,"2,150"
Ang Mo Kio,Cheng San,65 - 69,1- and 2-Room Flats*,140
Ang Mo Kio,Cheng San,65 - 69,3-Room Flats,"1,090"
Ang Mo Kio,Cheng San,65 - 69,4-Room Flats,620
Ang Mo Kio,Cheng San,65 - 69,5-Room and Executive Flats,310
Ang Mo Kio,Cheng San,65 - 69,Condominiums and Other Apartments,-
Ang Mo Kio,Cheng San,65 - 69,Landed Properties,-
Ang Mo Kio,Cheng San,65 - 69,Others,20
Ang Mo Kio,Cheng San,70 - 74,Total,"1,730"
Ang Mo Kio,Cheng San,70 - 74,Total HDB^,"1,720"
Ang Mo Kio,Cheng San,70 - 74,1- and 2-Room Flats*,80
Ang Mo Kio,Cheng San,70 - 74,3-Room Flats,930
Ang Mo Kio,Cheng San,70 - 74,4-Room Flats,500
Ang Mo Kio,Cheng San,70 - 74,5-Room and Executive Flats,220
Ang Mo Kio,Cheng San,70 - 74,Condominiums and Other Apartments,-
Ang Mo Kio,Cheng San,70 - 74,Landed Properties,-
Ang Mo Kio,Cheng San,70 - 74,Others,10
Ang Mo Kio,Cheng San,75 - 79,Total,960
Ang Mo Kio,Cheng San,75 - 79,Total HDB^,960
Ang Mo Kio,Cheng San,75 - 79,1- and 2-Room Flats*,50
Ang Mo Kio,Cheng San,75 - 79,3-Room Flats,510
Ang Mo Kio,Cheng San,75 - 79,4-Room Flats,280
Ang Mo Kio,Cheng San,75 - 79,5-Room and Executive Flats,120
Ang Mo Kio,Cheng San,75 - 79,Condominiums and Other Apartments,-
Ang Mo Kio,Cheng San,75 - 79,Landed Properties,-
Ang Mo Kio,Cheng San,75 - 79,Others,-
Ang Mo Kio,Cheng San,80 - 84,Total,640
Ang Mo Kio,Cheng San,80 - 84,Total HDB^,640
Ang Mo Kio,Cheng San,80 - 84,1- and 2-Room Flats*,20
Ang Mo Kio,Cheng San,80 - 84,3-Room Flats,330
Ang Mo Kio,Cheng San,80 - 84,4-Room Flats,210
Ang Mo Kio,Cheng San,80 - 84,5-Room and Executive Flats,80
Ang Mo Kio,Cheng San,80 - 84,Condominiums and Other Apartments,-
Ang Mo Kio,Cheng San,80 - 84,Landed Properties,-
Ang Mo Kio,Cheng San,80 - 84,Others,-
Ang Mo Kio,Cheng San,85 - 89,Total,350
Ang Mo Kio,Cheng San,85 - 89,Total HDB^,340
Ang Mo Kio,Cheng San,85 - 89,1- and 2-Room Flats*,20
Ang Mo Kio,Cheng San,85 - 89,3-Room Flats,170
Ang Mo Kio,Cheng San,85 - 89,4-Room Flats,110
Ang Mo Kio,Cheng San,85 - 89,5-Room and Executive Flats,40
Ang Mo Kio,Cheng San,85 - 89,Condominiums and Other Apartments,-
Ang Mo Kio,Cheng San,85 - 89,Landed Properties,-
Ang Mo Kio,Cheng San,85 - 89,Others,-
Ang Mo Kio,Cheng San,90 & Over,Total,180
Ang Mo Kio,Cheng San,90 & Over,Total HDB^,180
Ang Mo Kio,Cheng San,90 & Over,1- and 2-Room Flats*,10
Ang Mo Kio,Cheng San,90 & Over,3-Room Flats,80
Ang Mo Kio,Cheng San,90 & Over,4-Room Flats,60
Ang Mo Kio,Cheng San,90 & Over,5-Room and Executive Flats,30
Ang Mo Kio,Cheng San,90 & Over,Condominiums and Other Apartments,-
Ang Mo Kio,Cheng San,90 & Over,Landed Properties,-
Ang Mo Kio,Cheng San,90 & Over,Others,-
Ang Mo Kio,Chong Boon,Total,Total,"26,500"
Ang Mo Kio,Chong Boon,Total,Total HDB^,"26,000"
Ang Mo Kio,Chong Boon,Total,1- and 2-Room Flats*,"1,470"
Ang Mo Kio,Chong Boon,Total,3-Room Flats,"12,180"
Ang Mo Kio,Chong Boon,Total,4-Room Flats,"8,560"
Ang Mo Kio,Chong Boon,Total,5-Room and Executive Flats,"3,790"
Ang Mo Kio,Chong Boon,Total,Condominiums and Other Apartments,-
Ang Mo Kio,Chong Boon,Total,Landed Properties,-
Ang Mo Kio,Chong Boon,Total,Others,500
Ang Mo Kio,Chong Boon,0 - 4,Total,860
Ang Mo Kio,Chong Boon,0 - 4,Total HDB^,860
Ang Mo Kio,Chong Boon,0 - 4,1- and 2-Room Flats*,60
Ang Mo Kio,Chong Boon,0 - 4,3-Room Flats,310
Ang Mo Kio,Chong Boon,0 - 4,4-Room Flats,330
Ang Mo Kio,Chong Boon,0 - 4,5-Room and Executive Flats,160
Ang Mo Kio,Chong Boon,0 - 4,Condominiums and Other Apartments,-
Ang Mo Kio,Chong Boon,0 - 4,Landed Properties,-
Ang Mo Kio,Chong Boon,0 - 4,Others,-
Ang Mo Kio,Chong Boon,5 - 9,Total,840
Ang Mo Kio,Chong Boon,5 - 9,Total HDB^,840
Ang Mo Kio,Chong Boon,5 - 9,1- and 2-Room Flats*,50
Ang Mo Kio,Chong Boon,5 - 9,3-Room Flats,360
Ang Mo Kio,Chong Boon,5 - 9,4-Room Flats,250
Ang Mo Kio,Chong Boon,5 - 9,5-Room and Executive Flats,180
Ang Mo Kio,Chong Boon,5 - 9,Condominiums and Other Apartments,-
Ang Mo Kio,Chong Boon,5 - 9,Landed Properties,-
Ang Mo Kio,Chong Boon,5 - 9,Others,-
Ang Mo Kio,Chong Boon,10 - 14,Total,"1,010"
Ang Mo Kio,Chong Boon,10 - 14,Total HDB^,"1,010"
Ang Mo Kio,Chong Boon,10 - 14,1- and 2-Room Flats*,60
Ang Mo Kio,Chong Boon,10 - 14,3-Room Flats,450
Ang Mo Kio,Chong Boon,10 - 14,4-Room Flats,310
Ang Mo Kio,Chong Boon,10 - 14,5-Room and Executive Flats,190
Ang Mo Kio,Chong Boon,10 - 14,Condominiums and Other Apartments,-
Ang Mo Kio,Chong Boon,10 - 14,Landed Properties,-
Ang Mo Kio,Chong Boon,10 - 14,Others,-
Ang Mo Kio,Chong Boon,15 - 19,Total,"1,060"
Ang Mo Kio,Chong Boon,15 - 19,Total HDB^,"1,050"
Ang Mo Kio,Chong Boon,15 - 19,1- and 2-Room Flats*,70
Ang Mo Kio,Chong Boon,15 - 19,3-Room Flats,440
Ang Mo Kio,Chong Boon,15 - 19,4-Room Flats,350
Ang Mo Kio,Chong Boon,15 - 19,5-Room and Executive Flats,190
Ang Mo Kio,Chong Boon,15 - 19,Condominiums and Other Apartments,-
Ang Mo Kio,Chong Boon,15 - 19,Landed Properties,-
Ang Mo Kio,Chong Boon,15 - 19,Others,10
Ang Mo Kio,Chong Boon,20 - 24,Total,"1,310"
Ang Mo Kio,Chong Boon,20 - 24,Total HDB^,"1,310"
Ang Mo Kio,Chong Boon,20 - 24,1- and 2-Room Flats*,120
Ang Mo Kio,Chong Boon,20 - 24,3-Room Flats,540
Ang Mo Kio,Chong Boon,20 - 24,4-Room Flats,470
Ang Mo Kio,Chong Boon,20 - 24,5-Room and Executive Flats,180
Ang Mo Kio,Chong Boon,20 - 24,Condominiums and Other Apartments,-
Ang Mo Kio,Chong Boon,20 - 24,Landed Properties,-
Ang Mo Kio,Chong Boon,20 - 24,Others,-
Ang Mo Kio,Chong Boon,25 - 29,Total,"1,610"
Ang Mo Kio,Chong Boon,25 - 29,Total HDB^,"1,600"
Ang Mo Kio,Chong Boon,25 - 29,1- and 2-Room Flats*,70
Ang Mo Kio,Chong Boon,25 - 29,3-Room Flats,700
Ang Mo Kio,Chong Boon,25 - 29,4-Room Flats,540
Ang Mo Kio,Chong Boon,25 - 29,5-Room and Executive Flats,280
Ang Mo Kio,Chong Boon,25 - 29,Condominiums and Other Apartments,-
Ang Mo Kio,Chong Boon,25 - 29,Landed Properties,-
Ang Mo Kio,Chong Boon,25 - 29,Others,10
Ang Mo Kio,Chong Boon,30 - 34,Total,"1,890"
Ang Mo Kio,Chong Boon,30 - 34,Total HDB^,"1,870"
Ang Mo Kio,Chong Boon,30 - 34,1- and 2-Room Flats*,90
Ang Mo Kio,Chong Boon,30 - 34,3-Room Flats,740
Ang Mo Kio,Chong Boon,30 - 34,4-Room Flats,750
Ang Mo Kio,Chong Boon,30 - 34,5-Room and Executive Flats,300
Ang Mo Kio,Chong Boon,30 - 34,Condominiums and Other Apartments,-
Ang Mo Kio,Chong Boon,30 - 34,Landed Properties,-
Ang Mo Kio,Chong Boon,30 - 34,Others,20
Ang Mo Kio,Chong Boon,35 - 39,Total,"1,730"
Ang Mo Kio,Chong Boon,35 - 39,Total HDB^,"1,710"
Ang Mo Kio,Chong Boon,35 - 39,1- and 2-Room Flats*,60
Ang Mo Kio,Chong Boon,35 - 39,3-Room Flats,760
Ang Mo Kio,Chong Boon,35 - 39,4-Room Flats,620
Ang Mo Kio,Chong Boon,35 - 39,5-Room and Executive Flats,280
Ang Mo Kio,Chong Boon,35 - 39,Condominiums and Other Apartments,-
Ang Mo Kio,Chong Boon,35 - 39,Landed Properties,-
Ang Mo Kio,Chong Boon,35 - 39,Others,20
Ang Mo Kio,Chong Boon,40 - 44,Total,"1,800"
Ang Mo Kio,Chong Boon,40 - 44,Total HDB^,"1,790"
Ang Mo Kio,Chong Boon,40 - 44,1- and 2-Room Flats*,60
Ang Mo Kio,Chong Boon,40 - 44,3-Room Flats,930
Ang Mo Kio,Chong Boon,40 - 44,4-Room Flats,540
Ang Mo Kio,Chong Boon,40 - 44,5-Room and Executive Flats,270
Ang Mo Kio,Chong Boon,40 - 44,Condominiums and Other Apartments,-
Ang Mo Kio,Chong Boon,40 - 44,Landed Properties,-
Ang Mo Kio,Chong Boon,40 - 44,Others,10
Ang Mo Kio,Chong Boon,45 - 49,Total,"1,820"
Ang Mo Kio,Chong Boon,45 - 49,Total HDB^,"1,800"
Ang Mo Kio,Chong Boon,45 - 49,1- and 2-Room Flats*,70
Ang Mo Kio,Chong Boon,45 - 49,3-Room Flats,880
Ang Mo Kio,Chong Boon,45 - 49,4-Room Flats,600
Ang Mo Kio,Chong Boon,45 - 49,5-Room and Executive Flats,250
Ang Mo Kio,Chong Boon,45 - 49,Condominiums and Other Apartments,-
Ang Mo Kio,Chong Boon,45 - 49,Landed Properties,-
Ang Mo Kio,Chong Boon,45 - 49,Others,20
Ang Mo Kio,Chong Boon,50 - 54,Total,"1,900"
Ang Mo Kio,Chong Boon,50 - 54,Total HDB^,"1,870"
Ang Mo Kio,Chong Boon,50 - 54,1- and 2-Room Flats*,110
Ang Mo Kio,Chong Boon,50 - 54,3-Room Flats,940
Ang Mo Kio,Chong Boon,50 - 54,4-Room Flats,580
Ang Mo Kio,Chong Boon,50 - 54,5-Room and Executive Flats,250
Ang Mo Kio,Chong Boon,50 - 54,Condominiums and Other Apartments,-
Ang Mo Kio,Chong Boon,50 - 54,Landed Properties,-
Ang Mo Kio,Chong Boon,50 - 54,Others,30
Ang Mo Kio,Chong Boon,55 - 59,Total,"2,090"
Ang Mo Kio,Chong Boon,55 - 59,Total HDB^,"2,060"
Ang Mo Kio,Chong Boon,55 - 59,1- and 2-Room Flats*,140
Ang Mo Kio,Chong Boon,55 - 59,3-Room Flats,"1,060"
Ang Mo Kio,Chong Boon,55 - 59,4-Room Flats,630
Ang Mo Kio,Chong Boon,55 - 59,5-Room and Executive Flats,240
Ang Mo Kio,Chong Boon,55 - 59,Condominiums and Other Apartments,-
Ang Mo Kio,Chong Boon,55 - 59,Landed Properties,-
Ang Mo Kio,Chong Boon,55 - 59,Others,20
Ang Mo Kio,Chong Boon,60 - 64,Total,"2,140"
